institution_code,institution_name,akreditasi_institusi,wilayah
1212,UNIVERSITAS NAHDLATUL ULAMA MALUKU UTARA,BAIK,WILAYAH 12
1213,INSTITUT TEKNOLOGI AL-MUHAJIRIN,BAIK,WILAYAH 04
1214,AKADEMI KEPERAWATAN PELNI,BAIK,WILAYAH 03
1215,AKADEMI KEBIDANAN MADINA HUSADA,BAIK,WILAYAH 01
1216,UNIVERSITAS ISLAM NEGERI SAYYID ALI RAHMATULLAH TULUNGAGUNG,UNGGUL,WILAYAH PTAN
1217,SEKOLAH TINGGI ILMU KESEHATAN MAJAPAHIT,B,WILAYAH 07
1218,UNIVERSITAS KATOLIK INDONESIA SANTU PAULUS RUTENG,B,WILAYAH 15
1219,INSTITUT TEKNOLOGI DAN KESEHATAN TRI TUNAS NASIONAL,BAIK,WILAYAH 09
1220,AKADEMI FARMASI TORAJA,BAIK,WILAYAH 09
1221,SEKOLAH TINGGI TEOLOGI EKUMENE MEDAN,BAIK,WILAYAH PTAS
1222,INSTITUT MEKONGGA,BAIK,WILAYAH 09
1224,AKADEMI SEKRETARI TRIGUNA,BAIK,WILAYAH 04
1225,AMIK TRI DHARMA PALU,BAIK,WILAYAH 16
1226,UNIVERSITAS AWAL BROS,BAIK SEKALI,WILAYAH 17
1227,UNIVERSITAS SRAGEN,BAIK,WILAYAH 06
1228,INSTITUT AT TANWIR BOJONEGORO,BAIK,WILAYAH PTAS
1230,INSTITUT TEKNOLOGI KALIMANTAN,BAIK SEKALI,WILAYAH PTN
1231,UNIVERSITAS JENDERAL SOEDIRMAN,UNGGUL,WILAYAH PTN
1232,STMIK PGRI TANGERANG,BAIK,WILAYAH 04
1233,SEKOLAH TINGGI ILMU EKONOMI SEMARANG,BAIK SEKALI,WILAYAH 06
1234,UNIVERSITAS ISLAM NEGERI K.H. ABDURRAHMAN WAHID PEKALONGAN,UNGGUL,WILAYAH PTAN
1235,STMIK GANESHA BANDUNG,BAIK,WILAYAH 04
1236,STKIP PELITA NUSANTARA BUTON,BAIK,WILAYAH 09
1238,UNIVERSITAS NAZHATUT THULLAB AL-MUAFA SAMPANG,BAIK,WILAYAH 07
1239,SEKOLAH TINGGI TEOLOGI RUSSEL TIMIKA,BAIK,WILAYAH PTAS
1240,SEKOLAH TINGGI AGAMA ISLAM AL ITTIHAD CIANJUR JAWA BARAT,BAIK,WILAYAH PTAS
1241,UNIVERSITAS ISLAM NEGERI KIAI HAJI ACHMAD SIDDIQ JEMBER,UNGGUL,WILAYAH PTAN
1242,UNIVERSITAS TANJUNGPURA,UNGGUL,WILAYAH PTN
1243,UNIVERSITAS MUHAMMADIYAH KUDUS,BAIK SEKALI,WILAYAH 06
1244,STIKES ADI HUSADA,BAIK SEKALI,WILAYAH 07
1245,UNIVERSITAS ISLAM NEGERI MATARAM,UNGGUL,WILAYAH PTAN
1246,UNIVERSITAS HANG TUAH PEKANBARU,BAIK SEKALI,WILAYAH 17
1247,SEKOLAH TINGGI FILSAFAT DRIYARKARA,UNGGUL,WILAYAH 03
1248,INSTITUT TEKNOLOGI SAINS DAN KESEHATAN PKU MUHAMMADIYAH SURAKARTA,BAIK SEKALI,WILAYAH 06
1249,INSTITUT TEKNOLOGI DEL,BAIK SEKALI,WILAYAH 01
1250,INSTITUT AGAMA ISLAM TAZKIA,BAIK SEKALI,WILAYAH PTAS
1251,STKIP KRISTEN WAMENA,BAIK,WILAYAH 14
1252,UNIVERSITAS CAHAYA PRIMA,BAIK SEKALI,WILAYAH 09
1253,UNIVERSITAS SUGENG HARTONO,BAIK,WILAYAH 06
1254,UNIVERSITAS DARUNNAJAH,BAIK,WILAYAH 03
1256,UNIVERSITAS MUHAMMADIYAH MAUMERE,BAIK,WILAYAH 15
1257,INSTITUT TARUMANAGARA,BAIK,WILAYAH 03
1258,SEKOLAH TINGGI ILMU KESEHATAN PANCA BHAKTI PONTIANAK,BAIK SEKALI,WILAYAH 11
1259,UNIVERSITAS TEKNOLOGI BANDUNG,BAIK,WILAYAH 04
1260,"STAI AL-FALAH CICALENGKA, BANDUNG",BAIK,WILAYAH PTAS
1261,SEKOLAH TINGGI ILMU EKONOMI WIDYA MANGGALA,BAIK SEKALI,WILAYAH 06
1262,SEKOLAH TINGGI MANAJEMEN ASURANSI TRISAKTI,BAIK SEKALI,WILAYAH 03
1263,INSTITUT INFORMATIKA DAN BISNIS DARMAJAYA,BAIK SEKALI,WILAYAH 02
1264,SEKOLAH TINGGI ILMU PERTANIAN YASHAFA,BAIK,WILAYAH 13
1265,UNIVERSITAS YARSI PRATAMA,BAIK,WILAYAH 04
1269,AKADEMI KEPERAWATAN SARI HUSADA,BAIK,WILAYAH 01
1271,INSTITUT TEKNOLOGI DAN BISNIS TUBAN,BAIK,WILAYAH 07
1272,SEKOLAH TINGGI ILMU AL-QURAN AN-NUR LEMPUING OKI,BAIK,WILAYAH PTAS
1273,STAI MIFTAHUL HUDA AL-AZHAR BANJAR,BAIK,WILAYAH PTAS
1274,INSTITUT KESEHATAN DAN BISNIS ST. FATIMAH MAMUJU,BAIK,WILAYAH 09
1275,INSTITUT TEKNOLOGI PERTANIAN,BAIK,WILAYAH 09
1276,POLITEKNIK BHAKTI SEMESTA,BAIK,WILAYAH 06
1277,POLITEKNIK RUKUN ABDI LUHUR,BAIK,WILAYAH 06
1278,UNIVERSITAS AL HIKMAH JEPARA,BAIK,WILAYAH 06
1279,POLITEKNIK SANDI KARSA,BAIK,WILAYAH 09
1280,SEKOLAH TINGGI ILMU KESEHATAN RS HUSADA,BAIK,WILAYAH 03
1281,SEKOLAH TINGGI ILMU EKONOMI PORT NUMBAY JAYAPURA,BAIK,WILAYAH 14
1282,SEKOLAH TINGGI TEOLOGI INJILI ARASTAMAR JAKARTA,BAIK,WILAYAH PTAS
1283,SEKOLAH TINGGI TEOLOGI IMANUEL MINISTRY EL SHADDAY,BAIK,WILAYAH PTAS
1284,AKADEMI ANALIS KESEHATAN MALANG,BAIK,WILAYAH 07
1285,SEKOLAH TINGGI TEOLOGI SOLA GRATIA INDONESIA,BAIK,WILAYAH PTAS
1286,UNIVERSITAS DARMA AGUNG,BAIK,WILAYAH 01
1287,UNIVERSITAS DR. DJAR WATTIHELUW,BAIK,WILAYAH 12
1288,SEKOLAH TINGGI SENI MUSIK BANDUNG,BAIK,WILAYAH 04
1289,SEKOLAH TINGGI BAHASA ASING BINA DINAMIKA CIANJUR,BAIK,WILAYAH 04
1290,INSTITUT NASIONAL FLORES,BAIK,WILAYAH 15
1293,"STAI MA`ARIF SINTANG, KALIMANTAN BARAT",BAIK,WILAYAH PTAS
1295,UNIVERSITAS PERTIWI,BAIK,WILAYAH 04
1296,SEKOLAH TINGGI ILMU KESEHATAN CIANJUR,BAIK,WILAYAH 04
1298,AKADEMI TEKNIK ALAT BERAT INDONESIA,BAIK,WILAYAH 07
1299,INSTITUT TEKNOLOGI DAN BISNIS MESUJI,BAIK,WILAYAH 02
1300,POLITEKNIK INSAN TAZAKKA,BAIK,WILAYAH 04
1301,AKADEMI BAHASA ASING UMI MAKASSAR,BAIK,WILAYAH 09
1302,STIBA INDONESIA LPI,BAIK,WILAYAH 03
1303,STMIK MUARA DUA,BAIK,WILAYAH 02
1305,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER ITMI,BAIK,WILAYAH 01
1306,SEKOLAH TINGGI ILMU KESEHATAN MITRA SEJATI,BAIK,WILAYAH 01
1307,POLITEKNIK GEOLOGI DAN PERTAMBANGAN AGP,BAIK,WILAYAH 04
1308,AKADEMI KEUANGAN PERBANKAN NUSANTARA,BAIK,WILAYAH 13
1311,INSTITUT TEKNOLOGI DAN BISNIS CARNEGIE,BAIK,WILAYAH 01
1312,STKIP AHLUSSUNNAH,BAIK,WILAYAH 10
1314,POLITEKNIK GUNAKARYA INDONESIA BEKASI,BAIK,WILAYAH 04
1316,SEKOLAH TINGGI TEKNOLOGI INFORMASI NIIT,BAIK,WILAYAH 03
1317,INSTITUT TEKNOLOGI SAPTA MANDIRI,BAIK,WILAYAH 11
1318,AKADEMI PARIWISATA MEDAN HOTEL SCHOOL,BAIK,WILAYAH 01
1319,POLITEKNIK KREATIF INDONESIA,BAIK,WILAYAH 03
1320,UNIVERSITAS AUDI INDONESIA,BAIK,WILAYAH 01
1322,AKADEMI PENDIDIKAN KESEHATAN TALITAKUM,BAIK,WILAYAH 01
1323,AKADEMI MARITIM ACEH DARUSSALAM,BAIK,WILAYAH 13
1325,STIH INDONESIA JENTERA,BAIK,WILAYAH 03
1328,SEKOLAH TINGGI ILMU EKONOMI KALPATARU,BAIK,WILAYAH 04
1329,AKADEMI PARIWISATA BANDUNG,BAIK,WILAYAH 04
1330,SEKOLAH TINGGI FILSAFAT ISLAM SADRA JAKARTA,BAIK,WILAYAH PTAS
1331,SEKOLAH TINGGI ILMU MARITIM MEGA BUANA,BAIK,WILAYAH 09
1332,AKADEMI KOMUNITAS PETERNAKAN JORONG,BAIK,WILAYAH 11
1333,UNIVERSITAS NAHDLATUL ULAMA CIREBON,BAIK,WILAYAH 04
1334,AMIK WIRA NUSANTARA,BAIK,WILAYAH 04
1335,SEKOLAH TINGGI ILMU EKONOMI NASIONAL INDONESIA,BAIK,WILAYAH 03
1336,POLITEKNIK GIHON,BAIK,WILAYAH 01
1337,AKADEMI KEBIDANAN ARU,BAIK,WILAYAH 12
1338,SEKOLAH TINGGI ILMU KESEHATAN AN NUR HUSADA LAMPUNG UTARA,BAIK,WILAYAH 02
1339,INSTITUT TEKNOLOGI DAN KESEHATAN SUMATERA UTARA,BAIK,WILAYAH 01
1341,STMIK PAMITRAN,BAIK,WILAYAH 04
1342,POLITEKNIK KESEHATAN WIRA HUSADA NUSANTARA MALANG,BAIK,WILAYAH 07
1343,SEKOLAH TINGGI ILMU KEGURUAN DAN ILMU PENDIDIKAN TERANG BANGSA,BAIK,WILAYAH 14
1344,SEKOLAH TINGGI ILMU KESEHATAN AKSARI,BAIK,WILAYAH 04
1345,POLITEKNIK CENDANA,BAIK,WILAYAH 01
1347,AKADEMI PARIWISATA NUSANTARA MEDAN,BAIK,WILAYAH 01
1348,AKADEMI KEBIDANAN PRESTASI AGUNG,BAIK,WILAYAH 02
1349,STMIK SAMARINDA,BAIK,WILAYAH 11
1351,AKADEMI KEPERAWATAN SURYA NUSANTARA,BAIK,WILAYAH 01
1352,AKADEMI KEBIDANAN HAMPAR BAIDURI,BAIK,WILAYAH 02
1353,AKADEMI KEPERAWATAN HARUM,BAIK,WILAYAH 03
1355,UNIVERSITAS INDONESIA MANDIRI,BAIK,WILAYAH 02
1356,AKADEMI KEBIDANAN AIFA HUSADA,BAIK,WILAYAH 07
1358,SEKOLAH TINGGI BAHASA ASING MENTARI KUPANG,BAIK,WILAYAH 15
1359,INSTITUT TEKNOLOGI DAN SAINS NAHDLATUL ULAMA JAMBI,BAIK,WILAYAH 10
1360,SEKOLAH TINGGI ILMU KESEHATAN PERMATA NUSANTARA,BAIK,WILAYAH 04
1362,INSTITUT KESEHATAN DAN TEKNOLOGI PONDOK KARYA PEMBANGUNAN,BAIK,WILAYAH 03
1363,UNIVERSITAS INTERNASIONAL PAPUA,BAIK,WILAYAH 14
1365,STMIK CITRA MANDIRI PADANGSIDIMPUAN,BAIK,WILAYAH 01
1366,AKADEMI SEKRETARI DAN MANAJEMEN SRIWIJAYA,BAIK,WILAYAH 02
1367,STMIK SURYA INTAN,BAIK,WILAYAH 02
1368,STISIP GUNA NUSANTARA,BAIK,WILAYAH 04
1369,SEKOLAH TINGGI ILMU EKONOMI DAN BISNIS PRANA PUTRA,BAIK,WILAYAH 02
1370,AKADEMI KEBIDANAN BANUA BINA HUSADA,BAIK,WILAYAH 11
1371,STISIP TRIMASDA CILEGON,BAIK,WILAYAH 04
1372,AKADEMI ILMU GIZI YPAG MAKASSAR,BAIK,WILAYAH 09
1373,POLITEKNIK ISLAM SYEKH SALMAN AL-FARISI RANTAU,BAIK,WILAYAH 11
1374,AKADEMI KEBIDANAN BAKTI INDONESIA BALIKPAPAN,BAIK,WILAYAH 11
1375,SEKOLAH TINGGI ILMU EKONOMI TRI DHARMA WIDYA,BAIK,WILAYAH 03
1376,UNIVERSITAS HANDAYANI MAKASSAR,BAIK,WILAYAH 09
1377,POLITEKNIK TUNAS PEMUDA,BAIK,WILAYAH 04
1378,SEKOLAH TINGGI ILMU EKONOMI STAN IM,BAIK,WILAYAH 04
1379,SEKOLAH TINGGI ILMU KESEHATAN BUDI MULIA,BAIK,WILAYAH 09
1380,AKADEMI SEKRETARI MANAJEMEN NUSANTARA,BAIK,WILAYAH 13
1381,AKADEMI KEPERAWATAN ANDAKARA,BAIK,WILAYAH 03
1382,STKIP NAHDLATUL ULAMA INDRAMAYU,BAIK,WILAYAH 04
1383,AKADEMI KEBIDANAN DARUL HUSADA,BAIK,WILAYAH 13
1384,AKADEMI ANALIS KESEHATAN PUTRA JAYA BATAM,BAIK,WILAYAH 17
1386,SEKOLAH TINGGI ILMU KESEHATAN BORNEO NUSANTARA,BAIK,WILAYAH 11
1387,UNIVERSITAS LINGGABUANA PGRI SUKABUMI,B,WILAYAH 04
1388,STIE BAKTI BANGSA,BAIK,WILAYAH 07
1389,UNIVERSITAS SERASAN,BAIK,WILAYAH 02
1391,AKADEMI KEPERAWATAN DHARMA WACANA,BAIK,WILAYAH 02
1392,POLITEKNIK INDONESIA BANJARMASIN,BAIK,WILAYAH 11
1393,AKADEMI RADIOGNOSTIK DAN RADIOTERAPI YAPENPERNUS,BAIK,WILAYAH 04
1394,SEKOLAH TINGGI ILMU EKONOMI JAYAKUSUMA,BAIK,WILAYAH 03
1395,AKADEMI REFRAKSI OPTISI DAN OPTOMETRY GAPOPIN,BAIK,WILAYAH 03
1396,SEKOLAH TINGGI ILMU EKONOMI YKPN,UNGGUL,WILAYAH 05
1397,POLITEKNIK KESEHATAN MEGAREZKY,BAIK,WILAYAH 09
1398,SEKOLAH TINGGI EKONOMI ISLAM AL FURQON PRABUMULIH SUMATERA SELATAN,BAIK,WILAYAH PTAS
1399,STIT DARUL ULUM KUBU RAYA KALIMANTAN BARAT,BAIK,WILAYAH PTAS
1400,SEKOLAH TINGGI ILMU EKONOMI KERTANEGARA,BAIK,WILAYAH 07
1401,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SERAM RAYA,BAIK,WILAYAH 12
1402,UNIVERSITAS NURUL HASAN BACAN,BAIK,WILAYAH 12
1404,STAI MAU`IZHAH TANJUNG JABUNG BARAT,BAIK,WILAYAH PTAS
1406,UNIVERSITAS INSAN PEMBANGUNAN INDONESIA,BAIK,WILAYAH 04
1407,SEKOLAH TINGGI ILMU MANAJEMEN INDONESIA MEULABOH,BAIK,WILAYAH 13
1408,AKADEMI AKUPUNKTUR ACEH,BAIK,WILAYAH 13
1409,INSTITUT PRIMA BANGSA,B,WILAYAH 04
1410,SEKOLAH TINGGI ILMU TARBIYAH SIBAWAIHI MUTAWALLI,BAIK,WILAYAH PTAS
1411,UNIVERSITAS BALIEM PAPUA,BAIK,WILAYAH 14
1412,AKADEMI KEPERAWATAN BINA INSANI SAKTI,BAIK,WILAYAH 10
1413,SEKOLAH TINGGI ILMU EKONOMI BUDI PERTIWI,BAIK,WILAYAH 04
1415,AKADEMI KEBIDANAN AISYAH KABUPATEN PANGKEP,BAIK,WILAYAH 09
1416,UNIVERSITAS TIMIKA,BAIK,WILAYAH 14
1417,STISIPOL DHARMA WACANA,BAIK,WILAYAH 02
1418,SEKOLAH TINGGI ILMU EKONOMI YAYASAN PENGEMBANGAN BISNIS INDONESIA,BAIK,WILAYAH 04
1420,AKADEMI KEPERAWATAN RS EFARINA,BAIK,WILAYAH 04
1421,INSTITUT AGAMA ISLAM AL-MUHAMMAD CEPU,BAIK,WILAYAH PTAS
1424,SEKOLAH TINGGI ILMU EKONOMI LPI MAKASSAR,BAIK,WILAYAH 09
1425,SEKOLAH TINGGI ILMU EKONOMI SAMARINDA,BAIK,WILAYAH 11
1426,UNIVERSITAS CATUR INSAN CENDEKIA,BAIK,WILAYAH 04
1428,STT ADVENT PAPUA,BAIK,WILAYAH PTAS
1429,POLITEKNIK TEKNOKRAT INTERNASIONAL KOLAKA,BAIK,WILAYAH 09
1430,POLITEKNIK IDN BOGOR,BAIK,WILAYAH 04
1431,POLITEKNIK KESEHATAN SITEBA,BAIK,WILAYAH 10
1432,POLITEKNIK KESEHATAN KMC KUNINGAN,BAIK,WILAYAH 04
1433,AKADEMI KESEHATAN SUMENEP,BAIK,WILAYAH 07
1434,SEKOLAH TINGGI ILMU EKONOMI TRIANANDRA,BAIK,WILAYAH 03
1436,AKADEMI PARIWISATA GSP INTERNASIONAL,BAIK,WILAYAH 03
1437,INSTITUT TEKNOLOGI PETROLEUM BALONGAN,BAIK,WILAYAH 04
1439,STKIP PGRI TRENGGALEK,BAIK,WILAYAH 07
1440,SEKOLAH TINGGI ILMU KOMPUTER EL RAHMA,BAIK,WILAYAH 04
1441,AKADEMI MARITIM PALOPO,BAIK,WILAYAH 09
1442,INSTITUT ILMU SOSIAL DAN ILMU POLITIK JAKARTA,BAIK,WILAYAH 03
1444,SEKOLAH TINGGI ILMU AL QURAN AL MULTAZAM,BAIK,WILAYAH PTAS
1445,"STIT GUNUNG TUA, PADANG LAWAS UTARA, TAPANULI SELATAN, SUMATERA UTARA",BAIK,WILAYAH PTAS
1446,POLITEKNIK MULTIMEDIA NUSANTARA,BAIK,WILAYAH 03
1448,UNIVERSITAS MUHAMMADIYAH SORONG,BAIK SEKALI,WILAYAH 14
1449,STMIK DHARMA WACANA,BAIK,WILAYAH 02
1450,STMIK TULUS CENDEKIA,BAIK,WILAYAH 04
1451,AKADEMI KEBIDANAN BAKTI INDONESIA BOGOR,BAIK,WILAYAH 04
1452,SEKOLAH TINGGI ILMU TARBIYAH AR-RAUDLATUL HASANAH MEDAN SUMATERA UTARA,BAIK,WILAYAH PTAS
1453,INSTITUT TEKNOLOGI DIRGANTARA ADISUTJIPTO,BAIK SEKALI,WILAYAH 05
1454,AKADEMI FARMASI PERSADA SUKABUMI,BAIK,WILAYAH 04
1455,POLITEKNIK BISNIS KALTARA,BAIK,WILAYAH 11
1457,"STIS SYARIF ABDURRAHMAN PONTIANAK, KALIMANTAN BARAT",BAIK,WILAYAH PTAS
1458,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER AL MUSLIM,BAIK,WILAYAH 04
1459,SEKOLAH TINGGI TEKNOLOGI MINERAL INDONESIA,BAIK,WILAYAH 04
1460,AKADEMI KEPERAWATAN COLUMBIA ASIA,BAIK,WILAYAH 01
1462,SEKOLAH TINGGI ILMU EKONOMI PARIWISATA,BAIK,WILAYAH 16
1463,IAIN TERNATE,B,WILAYAH PTAN
1464,UNIVERSITAS PANCASAKTI TEGAL,UNGGUL,WILAYAH 06
1465,AKADEMI KEUANGAN DAN PERBANKAN BOROBUDUR,BAIK,WILAYAH 03
1466,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH WAKATOBI,BAIK,WILAYAH 09
1467,UNIVERSITAS TRISAKTI,UNGGUL,WILAYAH 03
1468,SEKOLAH TINGGI INFORMATIKA KOMPUTER ARTHA BUANA,BAIK,WILAYAH 15
1469,SEKOLAH TINGGI AGAMA KRISTEN KUPANG PROVINSI NUSA TENGGARA TIMUR,BAIK,WILAYAH PTAS
1470,SEKOLAH TINGGI ILMU EKONOMI WIDYA DARMA,BAIK,WILAYAH 07
1471,AKADEMI AKUNTANSI BIMA SAKAPENTA,BAIK,WILAYAH 06
1472,"STAI UMAR BIN KHATTAB DI UJUNGGADING, PASAMAN BARAT, SUMATERA BARAT",BAIK,WILAYAH PTAS
1473,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER AL-FATH,BAIK,WILAYAH 04
1474,INSTITUT ELKATARIE,BAIK,WILAYAH PTAS
1475,AKADEMI KEBIDANAN YALEKA MARO MERAUKE,BAIK,WILAYAH 14
1476,SEKOLAH TINGGI ILMU KESEHATAN FATIMA PAREPARE,BAIK,WILAYAH 09
1478,AKADEMI FARMASI TADULAKO FARMA,BAIK,WILAYAH 16
1480,INSTITUT SAINS DAN TEKNOLOGI ESA TRINITA,BAIK,WILAYAH 16
1483,SEKOLAH TINGGI DIRASAT ISLAMIYAH IMAM SYAFI`I JEMBER,BAIK,WILAYAH PTAS
1484,UNIVERSITAS PEPABRI MAKASSAR,BAIK,WILAYAH 09
1485,SEKOLAH TINGGI BAHASA HARAPAN BERSAMA,BAIK SEKALI,WILAYAH 11
1486,POLITEKNIK ENJINIRING PERTANIAN INDONESIA,BAIK SEKALI,WILAYAH PTKL
1487,SEKOLAH TINGGI ILMU USHULUDDIN DARUL QURAN,BAIK,WILAYAH PTAS
1488,UNIVERSITAS NAHDLATUL ULAMA KALIMANTAN BARAT,BAIK SEKALI,WILAYAH 11
1489,UNIVERSITAS TUNAS PEMBANGUNAN SURAKARTA,BAIK SEKALI,WILAYAH 06
1490,SEKOLAH TINGGI TEOLOGI SAPPI CIRANJANG,BAIK,WILAYAH PTAS
1491,SEKOLAH TINGGI ALKITAB PENYEBARAN INJIL MAJALENGKA,BAIK,WILAYAH PTAS
1492,SEKOLAH TINGGI ILMU ADMINISTRASI LANGGUR,BAIK,WILAYAH 12
1493,SEKOLAH TINGGI ILMU KESEHATAN MALAHAYATI MEDAN,BAIK,WILAYAH 01
1494,UNIVERSITAS LIA,BAIK,WILAYAH 03
1495,UNIVERSITAS AL-FALAH AS-SUNNIYAH,BAIK,WILAYAH PTAS
1496,UNIVERSITAS ISLAM AN NUR LAMPUNG,BAIK,WILAYAH PTAS
1497,INSTITUT AGAMA ISLAM DARUTTAQWA GRESIK,BAIK,WILAYAH PTAS
1498,POLITEKNIK PANCASAKTI GLOBAL,BAIK,WILAYAH 06
1499,UNIVERSITAS BINA SEHAT PPNI MOJOKERTO,BAIK,WILAYAH 07
1500,UNIVERSITAS ISLAM DARUSSALAM,B,WILAYAH PTAS
1501,UNIVERSITAS ABDUL AZIS LAMADJIDO,BAIK,WILAYAH 16
1503,UNIVERSITAS KALBIS,BAIK SEKALI,WILAYAH 03
1504,INSTITUT KESEHATAN PAYUNG NEGERI PEKANBARU,B,WILAYAH 17
1506,UNIVERSITAS ANNUQAYAH,BAIK,WILAYAH 07
1507,UNIVERSITAS ICHSAN GORONTALO UTARA,BAIK,WILAYAH 16
1509,AKADEMI KETATALAKSANAAN PELAYARAN NIAGA BAHTERA,BAIK,WILAYAH 05
1510,AKADEMI KEBIDANAN SITI FATIMAH,BAIK,WILAYAH 06
1511,SEKOLAH TINGGI ILMU TARBIYAH AL-HADY BOMBANA,BAIK,WILAYAH PTAS
1512,SEKOLAH TINGGI ILMU KESEHATAN WIDYA DHARMA HUSADA TANGERANG,BAIK SEKALI,WILAYAH 04
1513,UNIVERSITAS SYEKH YUSUF AL MAKASSARI GOWA,BAIK,WILAYAH 09
1514,UNIVERSITAS WERISAR,BAIK,WILAYAH 14
1515,INSTITUT MODERN ARSITEKTUR DAN TEKNOLOGI,BAIK,WILAYAH 01
1516,UNIVERSITAS MUHAMMADIYAH PALOPO,BAIK SEKALI,WILAYAH 09
1517,SEKOLAH TINGGI ILMU HUKUM BIAK-PAPUA,BAIK SEKALI,WILAYAH 14
1518,AKADEMI MANAJEMEN KOPERASI TANTULAR,BAIK,WILAYAH 07
1519,UNIVERSITAS BATTUTA,BAIK SEKALI,WILAYAH 01
1520,SEKOLAH TINGGI HUKUM MILITER AHM - PTHM,BAIK SEKALI,WILAYAH PTKL
1521,SEKOLAH TINGGI ILMU HUKUM DAN POLITIK PELOPOR BANGSA,BAIK,WILAYAH 04
1522,SEKOLAH TINGGI ILMU ADMINISTRASI BAYUANGGA,BAIK,WILAYAH 07
1523,POLITEKNIK BORNEO MEDISTRA,BAIK,WILAYAH 11
1524,SEKOLAH TINGGI ILMU KESEHATAN BALA KESELAMATAN PALU,BAIK,WILAYAH 16
1525,UNIVERSITAS PELITA BANGSA,BAIK,WILAYAH 04
1526,SEKOLAH TINGGI ILMU KESEHATAN HAR-KAUSYAR,BAIK,WILAYAH 17
1527,INSTITUT TURATEA INDONESIA,BAIK SEKALI,WILAYAH 09
1528,UNIVERSITAS WARMADEWA,UNGGUL,WILAYAH 08
1529,UNIVERSITAS SINGAPERBANGSA KARAWANG,B,WILAYAH PTN
1530,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN ILMU KOMPUTER EL RAHMA YOGYAKARTA,BAIK,WILAYAH 05
1533,INSTITUT TEKNOLOGI DAN SAINS MUHAMMADIYAH KOLAKA UTARA,BAIK,WILAYAH 09
1534,UNIVERSITAS TERBUKA,A,WILAYAH PTN
1535,INSTITUT TEKNOLOGI PERKEBUNAN PELALAWAN INDONESIA,BAIK,WILAYAH 17
1536,AKADEMI MARITIM PEMBANGUNAN JAKARTA,BAIK,WILAYAH 03
1537,STKIP NAHDLATUL ULAMA KABUPATEN TEGAL,BAIK,WILAYAH 06
1538,UNIVERSITAS INFORMATIKA DAN BISNIS INDONESIA,BAIK SEKALI,WILAYAH 04
1539,INSTITUT TEKNOLOGI DAN SAINS PADANG LAWAS UTARA,BAIK,WILAYAH 01
1540,POLITEKNIK KESEHATAN KESUMA BANGSA,BAIK,WILAYAH 02
1541,POLITEKNIK NEGERI JAKARTA,UNGGUL,WILAYAH PTN
1543,INSTITUT TEKNOLOGI DAN BISNIS DINIYYAH LAMPUNG,BAIK,WILAYAH 02
1544,INSTITUT KESEHATAN DAN TEKNOLOGI BISNIS MENARA BUNDA KOLAKA,BAIK,WILAYAH 09
1545,POLITEKNIK MASAMY INTERNASIONAL,BAIK,WILAYAH 07
1546,UNIVERSITAS NURUL HASANAH KUTACANE,BAIK,WILAYAH 13
1547,UNIVERSITAS TEKNOLOGI DIGITAL,BAIK,WILAYAH 04
1548,POLITEKNIK HANG TUAH JAKARTA,BAIK,WILAYAH 03
1549,AKADEMI PARIWISATA JAKARTA,BAIK,WILAYAH 03
1552,SEKOLAH TINGGI TEKNOLOGI SAPTA TARUNA,BAIK,WILAYAH 03
1553,UNIVERSITAS NGGUSUWARU,BAIK,WILAYAH 08
1554,AKADEMI KOMUNIKASI SAE INDONESIA,BAIK,WILAYAH 03
1555,POLITEKNIK SENDAWAR,BAIK,WILAYAH 11
1556,SEKOLAH TINGGI ILMU KESEHATAN GUNUNG MARIA TOMOHON,BAIK,WILAYAH 16
1557,POLITEKNIK INDOTEC KENDARI,BAIK,WILAYAH 09
1558,SEKOLAH TINGGI FILSAFAT THEOLOGIA INDONESIA TIMUR,BAIK,WILAYAH 09
1559,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER YPAT,BAIK,WILAYAH 04
1560,UNIVERSITAS BAKRIE,UNGGUL,WILAYAH 03
1561,UNIVERSITAS MADURA,B,WILAYAH 07
1562,SEKOLAH TINGGI ILMU HUKUM ADHYAKSA,BAIK SEKALI,WILAYAH 03
1564,SEKOLAH TINGGI ILMU KESEHATAN FLORA,BAIK,WILAYAH 01
1565,STIU DIROSAT ISLAMIYAH AL-HIKMAH JAKARTA SELATAN,BAIK,WILAYAH PTAS
1566,INSTITUT KESEHATAN DAN BISNIS ANNISA,BAIK,WILAYAH 04
1567,UNIVERSITAS ISLAM NEGERI RADEN INTAN LAMPUNG,UNGGUL,WILAYAH PTAN
1568,STIT HAMZAH FANSURI SUBULUSSALAM ACEH,BAIK,WILAYAH PTAS
1571,POLITEKNIK NEGERI MADIUN,BAIK SEKALI,WILAYAH PTN
1572,SEKOLAH TINGGI ILMU FARMASI PADANG,BAIK SEKALI,WILAYAH 10
1573,AKADEMI FISIOTERAPI YAB YOGYAKARTA,BAIK,WILAYAH 05
